colum1,lat,lon
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
False,-111.11111111111111,-222.22222222222223
